Symbol,Date,Open,High,Low,Close,AdjClose,Volume
ADANIPORTS,1/27/2017,305.25,308.950012,302.450012,303.549988,302.553741,264487
ADANIPORTS,1/30/2017,303,305.799988,301.5,303.200012,302.204895,186865
ADANIPORTS,1/31/2017,303.549988,306,292.700012,293.399994,292.437042,226615
ADANIPORTS,02/01/2017,295,305,294,303.950012,302.952454,328831
ADANIPORTS,02/02/2017,305,309.299988,302,303.399994,302.404236,214798
ADANIPORTS,02/03/2017,304,311,302.149994,303.549988,302.553741,268276
ADANIPORTS,02/06/2017,303.600006,310.649994,303.049988,309.600006,308.583893,375174
ADANIPORTS,02/07/2017,310,310.700012,301.399994,303.850006,302.852753,138186
ADANIPORTS,02/08/2017,305,307,298.799988,303.850006,302.852753,207237
ADANIPORTS,02/09/2017,304,308,301.100006,304.450012,303.450806,122061
ADANIPORTS,02/10/2017,305,313.5,305,311.25,310.228485,375067
ADANIPORTS,2/13/2017,312.5,314.75,304.899994,309.200012,308.185211,197766
ADANIPORTS,2/14/2017,311.649994,315.799988,305.600006,306.899994,305.892731,632816
ADANIPORTS,2/15/2017,307.75,313.299988,297.549988,300.5,299.513763,391405
ADANIPORTS,2/16/2017,299.899994,303,294,298.25,297.271149,497676
ADANIPORTS,2/17/2017,301.049988,302.700012,296.25,297.649994,296.673096,193440
ADANIPORTS,2/20/2017,298.600006,302.799988,296.399994,300.5,299.513763,153052
ADANIPORTS,2/21/2017,301,305.200012,298.899994,304.049988,303.052094,214628
ADANIPORTS,2/22/2017,305,306.5,298,300.049988,299.065216,342274
ADANIPORTS,2/23/2017,300.850006,303.049988,296,297.450012,296.473785,195406
ADANIPORTS,2/27/2017,297.950012,300.75,295.100006,296.75,295.776062,202987
ADANIPORTS,2/28/2017,298,303.299988,296.700012,301.75,300.759644,191096
ADANIPORTS,03/01/2017,302,305.299988,301.950012,303,302.005554,369089
ADANIPORTS,03/02/2017,305.399994,305.600006,292,293.700012,292.736084,371809
ADANIPORTS,03/03/2017,294.100006,297,291.75,296.200012,295.227875,309483
ADANIPORTS,03/06/2017,295,303.899994,295,302.350006,301.357697,280758
ADANIPORTS,03/07/2017,303,309.299988,302,308.299988,307.288147,428917
ADANIPORTS,03/08/2017,309,309.200012,301,306.75,305.743256,300215
ADANIPORTS,03/09/2017,309,309,299.200012,300.75,299.762939,198941
ADANIPORTS,03/10/2017,303,306.25,297.899994,299.399994,298.417358,179663
ADANIPORTS,3/14/2017,310.100006,310.649994,304.149994,308.149994,307.138641,291581
ADANIPORTS,3/15/2017,309,313.5,308.700012,309.899994,308.882904,213304
ADANIPORTS,3/16/2017,311,325.649994,311,324.549988,323.484802,1296618
ADANIPORTS,3/17/2017,326.200012,329.049988,321.200012,324.600006,323.534668,282212
ADANIPORTS,3/20/2017,327,329.899994,324.149994,325.25,324.182526,643292
ADANIPORTS,3/21/2017,325,327.450012,320.200012,325.5,324.431702,420052
ADANIPORTS,3/22/2017,323,323.950012,319.799988,322.399994,321.341888,777689
ADANIPORTS,3/23/2017,322.399994,326.649994,322.100006,325.100006,324.03302,494722
ADANIPORTS,3/24/2017,325.049988,327.299988,321.899994,323.100006,322.039581,110034
ADANIPORTS,3/27/2017,322.600006,323.75,317.700012,319.149994,318.102539,409639
ADANIPORTS,3/28/2017,320,323,319.549988,320.799988,319.747131,375737
ADANIPORTS,3/29/2017,321,322,317.100006,320.350006,319.298615,993477
ADANIPORTS,3/30/2017,321.299988,341.200012,321,338.850006,337.737885,626886
ADANIPORTS,3/31/2017,340.5,342,335.700012,339.799988,338.684753,331218
ADANIPORTS,04/03/2017,338.100006,343.399994,338.100006,341.850006,340.728058,307856
ADANIPORTS,04/05/2017,342.5,358,342.5,357.25,356.077515,368308
ADANIPORTS,04/06/2017,357.25,358,350.950012,356,354.831604,180284
ADANIPORTS,04/07/2017,353.700012,353.700012,345.899994,347.549988,346.409332,955949
ADANIPORTS,04/10/2017,347.100006,353.799988,346.100006,351.25,350.097198,120605
ADANIPORTS,04/11/2017,351.75,355.799988,330.899994,334.450012,333.352356,533338
ADANIPORTS,04/12/2017,335,336.399994,324,327.549988,326.474976,494827
ADANIPORTS,4/13/2017,325.100006,325.200012,318.649994,320.399994,319.34845,283955
ADANIPORTS,4/17/2017,321,327.399994,318.100006,320,318.949768,377319
ADANIPORTS,4/18/2017,320.5,335.100006,318.600006,319.700012,318.650757,737069
ADANIPORTS,4/19/2017,325,327.5,319.600006,325.700012,324.631073,470818
ADANIPORTS,4/20/2017,330,333,324,331.649994,330.561523,314679
ADANIPORTS,4/21/2017,335.799988,335.799988,324.350006,325.950012,324.880249,373743
ADANIPORTS,4/24/2017,327,334.299988,327,331.299988,330.212646,240034
ADANIPORTS,4/25/2017,332.5,332.950012,327,331.549988,330.461823,279972
ADANIPORTS,4/26/2017,332,333.950012,318.899994,324,322.936615,333670
ADANIPORTS,4/27/2017,321,329.049988,321,322.850006,321.790405,163780
ADANIPORTS,4/28/2017,324.649994,328,321.600006,326.899994,325.827118,156608
ADANIPORTS,05/02/2017,327.200012,332.899994,326.700012,330.700012,329.614655,178193
ADANIPORTS,05/03/2017,330,332.149994,324.450012,327.549988,326.474976,210467
ADANIPORTS,05/04/2017,329.899994,340.5,328.799988,339.600006,338.485443,851204
ADANIPORTS,05/05/2017,340.899994,346.399994,336.600006,344.899994,343.768036,609995
ADANIPORTS,05/08/2017,345,346,338.850006,342.299988,341.176544,212896
ADANIPORTS,05/09/2017,340,349,336.299988,347.649994,346.509003,319982
ADANIPORTS,05/10/2017,346.899994,353.200012,346.450012,350.950012,349.798187,274590
ADANIPORTS,05/11/2017,352.049988,361.600006,350.399994,358.950012,357.771942,404700
ADANIPORTS,05/12/2017,360.049988,360.100006,353.75,357.149994,355.977814,189667
ADANIPORTS,5/15/2017,351,359.549988,351,355.25,354.084076,117028
ADANIPORTS,5/16/2017,357,358,352.100006,354.200012,353.037537,197769
ADANIPORTS,5/17/2017,354.399994,354.700012,347.899994,349.25,348.10376,90349
ADANIPORTS,5/18/2017,346.799988,358.950012,343.299988,347.950012,346.808044,249397
ADANIPORTS,5/19/2017,353.700012,353.700012,345.200012,349.200012,348.053925,176629
ADANIPORTS,5/22/2017,350.299988,357,350.299988,353.950012,352.78833,251225
ADANIPORTS,5/23/2017,354.25,355.299988,329.049988,332.049988,330.960205,399177
ADANIPORTS,5/24/2017,332.5,343,328,340.049988,338.933929,1572888
ADANIPORTS,5/25/2017,346.700012,346.700012,331.649994,340.75,339.631653,333031
ADANIPORTS,5/26/2017,342.700012,350.649994,339.049988,346.950012,345.81131,277445
ADANIPORTS,5/29/2017,346.950012,348.200012,325.700012,328.299988,327.222504,336805
ADANIPORTS,5/30/2017,329.5,342.299988,327.450012,339.549988,338.435577,267421
ADANIPORTS,5/31/2017,343.5,345.299988,336.950012,338.950012,337.837585,459115
ADANIPORTS,06/01/2017,339,352.25,338.450012,349.799988,348.651947,469489
ADANIPORTS,06/02/2017,350,359.149994,350,357.25,356.077515,338593
ADANIPORTS,06/05/2017,358.200012,364.100006,355.25,360.899994,359.715515,313852
ADANIPORTS,06/06/2017,361,368.700012,357.299988,361.850006,360.662415,299186
ADANIPORTS,06/07/2017,363.75,364.100006,358.049988,359.700012,358.51947,1103636
ADANIPORTS,06/08/2017,359,361.700012,351,359.049988,357.871582,422841
ADANIPORTS,06/09/2017,363.5,363.5,350.549988,359.799988,358.61911,1951318
ADANIPORTS,06/12/2017,359.049988,359.200012,353.850006,357.100006,355.928009,332179
ADANIPORTS,6/13/2017,357.100006,363.049988,355.350006,359.5,358.320129,206232
ADANIPORTS,6/14/2017,364,364,356.299988,359.700012,358.51947,490513
ADANIPORTS,6/15/2017,359.5,366.149994,358,360.25,359.067657,269255
ADANIPORTS,6/16/2017,363,365,357,362.649994,361.459778,177913
